iters,ssim,psnr,rmse
1000+500,0.6770767580584228,21.904582977294922,0.085611925
10000+5000,0.7222227858459885,23.26610565185547,0.07210711
11000+5500,0.7271517322528176,23.375951051712036,0.07158811
12000+6000,0.7257309210409564,23.466713428497314,0.07078574
13000+6500,0.7242448572919973,23.431566953659058,0.07062255
14000+7000,0.7241932722769779,23.515403270721436,0.070160806
15000+7500,0.7261999721381658,23.52537989616394,0.06936228
16000+8000,0.724447685720414,23.465734720230103,0.07008912
17000+8500,0.7256690567251438,23.47076416015625,0.07036455
18000+9000,0.7293880394385154,23.55354070663452,0.06910706
19000+9500,0.7315069940407057,23.495445251464844,0.06963219
2000+1000,0.6916059738142966,22.49553680419922,0.08145806
20000+10000,0.7293438176442357,23.4967303276062,0.06998008
3000+1500,0.7063453295374575,22.827868461608887,0.077172756
30000+15000,0.735292933698151,23.558197021484375,0.06843566
4000+2000,0.7082601324397353,22.927238941192627,0.07593141
40000+20000,0.7407525495832655,23.60449194908142,0.06790759
5000+2500,0.7140346919806337,23.00626516342163,0.07446101
50000+25000,0.7395316017714603,23.64372968673706,0.068029806
6000+3000,0.7056094216717607,22.894701957702637,0.07539749
7000+3500,0.7137974735120185,22.99056649208069,0.074420415
8000+4000,0.7188241043484203,23.18907856941223,0.074419305
9000+4500,0.7194343391272289,23.282958269119263,0.07261612
