iters,ssim,psnr,rmse
1000+500,0.5614286171812637,17.867074012756348,0.12146505
10000+5000,0.6367884952976368,20.694056749343872,0.08938664
11000+5500,0.6558731845798835,21.07921600341797,0.085404634
12000+6000,0.6535061885797622,21.043362617492676,0.08543582
13000+6500,0.6632171448496536,21.45727515220642,0.08432031
14000+7000,0.6606900935430531,21.169331073760986,0.08641329
15000+7500,0.6654194337928308,21.290273666381836,0.08532639
16000+8000,0.6601815075464401,20.99522113800049,0.08872906
17000+8500,0.6497372039157199,20.714658498764038,0.09086379
18000+9000,0.6624866542841801,20.84020972251892,0.08785953
19000+9500,0.6521870507122003,20.882195234298706,0.08952162
2000+1000,0.6051667815167718,19.554990530014038,0.10279592
20000+10000,0.6493139160842247,20.704532861709595,0.090629056
3000+1500,0.6139728938040465,19.687252640724182,0.10181214
30000+15000,0.645001136485007,21.009156703948975,0.08795647
4000+2000,0.6282031486965014,20.066951513290405,0.096477814
40000+20000,0.6505877853596758,20.958303213119507,0.0861191
5000+2500,0.6342364302134058,20.412930250167847,0.09449097
50000+25000,0.6457721643819241,21.066772937774658,0.08525319
6000+3000,0.6385610121633363,20.951741933822632,0.089274034
7000+3500,0.6348662207198643,20.375150442123413,0.092987105
8000+4000,0.6433854117176403,20.212337970733643,0.09310483
9000+4500,0.6609192440846527,20.93444585800171,0.08715695
