iters,ssim,psnr,rmse
1000+500,0.5397100752949342,17.688642740249634,0.11242432
10000+5000,0.6310337024843307,21.145122051239014,0.07456282
11000+5500,0.639551354564901,21.26344084739685,0.073954575
12000+6000,0.6336782629878144,21.540533304214478,0.07273479
13000+6500,0.6444156262841716,21.301287412643433,0.073492855
14000+7000,0.645056524022948,21.361453533172607,0.07466389
15000+7500,0.6349271148210391,21.598771810531616,0.075721174
16000+8000,0.659112395151169,21.544450521469116,0.07142295
17000+8500,0.6441584805959053,21.533124446868896,0.07500237
18000+9000,0.651152342921705,21.512783765792847,0.07410179
19000+9500,0.6308650212013163,21.672300100326538,0.07409623
2000+1000,0.5805579326224688,18.809685111045837,0.09578881
20000+10000,0.646942257628325,21.49885654449463,0.07349041
3000+1500,0.6134188635624014,19.717599153518677,0.084691465
30000+15000,0.6573355145046662,21.89130425453186,0.07301073
4000+2000,0.6159487970871851,20.243085622787476,0.0798263
40000+20000,0.6388305583895999,21.82913899421692,0.074654534
5000+2500,0.6247468197980197,20.68081259727478,0.078311116
50000+25000,0.6331268572248518,21.654361486434937,0.077328786
6000+3000,0.6210761560869287,20.404052734375,0.07690934
7000+3500,0.6146951907085167,20.67505717277527,0.07810317
8000+4000,0.632511140043789,20.995091199874878,0.075996116
9000+4500,0.633028857249883,21.099306344985962,0.07500553
