iters,ssim,psnr,rmse
1000+500,0.6765020085406093,21.955630779266357,0.081342466
10000+5000,0.7427328933585713,24.193919897079468,0.064371124
11000+5500,0.7494247513420047,24.2449152469635,0.06281637
12000+6000,0.7455775056700986,24.089475870132446,0.06425005
13000+6500,0.7497663737785842,24.092291593551636,0.064258486
14000+7000,0.739952726104093,23.92368197441101,0.06582169
15000+7500,0.7527134481042594,24.20108199119568,0.063322246
16000+8000,0.745851124242165,24.045016765594482,0.065530285
17000+8500,0.7480356006631723,24.03427004814148,0.06459217
18000+9000,0.7443409048009926,24.094609022140503,0.0650137
19000+9500,0.7507644041227195,24.148794412612915,0.06358878
2000+1000,0.7149000515973967,23.056784868240356,0.07334769
20000+10000,0.7461072481078759,24.15115237236023,0.06422173
3000+1500,0.7323489040662032,23.46497416496277,0.07017765
30000+15000,0.7459665626844583,24.188508987426758,0.06297824
4000+2000,0.7345271122555914,23.726726770401,0.06819357
40000+20000,0.7475599951348049,24.20473575592041,0.0638655
5000+2500,0.7428648900295229,23.936995267868042,0.0663307
50000+25000,0.7467267388508674,24.133949279785156,0.064477324
6000+3000,0.7329527162050908,23.60823631286621,0.06807248
7000+3500,0.7424970905685768,24.059698581695557,0.06537853
8000+4000,0.7413716107757864,24.13710117340088,0.065708734
9000+4500,0.7385671305811954,24.13547992706299,0.06480438
