iters,ssim,psnr,rmse
1000+500,0.6306898686282947,20.211598873138428,0.101621784
10000+5000,0.6808125816736839,21.4846134185791,0.08748469
11000+5500,0.6874018833893829,21.62318229675293,0.086027265
12000+6000,0.6905495294608689,21.642683744430542,0.086058944
13000+6500,0.6886028506043671,21.59164547920227,0.086208686
14000+7000,0.6920996297686495,21.66794776916504,0.08533996
15000+7500,0.6935582564779609,21.685901880264282,0.084657766
16000+8000,0.6939306460427548,21.728017330169678,0.084218055
17000+8500,0.6963773439675776,21.723226308822632,0.0844216
18000+9000,0.6978029042538347,21.766488552093506,0.08420186
19000+9500,0.6956305515653776,21.78454041481018,0.084662616
2000+1000,0.6361101527151523,20.563411712646484,0.10044432
20000+10000,0.6933975600018703,21.738765239715576,0.08434266
3000+1500,0.6492070024716818,20.787519216537476,0.095514014
30000+15000,0.6994699135644888,21.78560972213745,0.083783954
4000+2000,0.6633985025702884,21.15618109703064,0.09184788
40000+20000,0.7016839824852354,21.723469495773315,0.084238395
5000+2500,0.6734838821279521,21.105239391326904,0.0920512
50000+25000,0.7014332788589417,21.731008291244507,0.08418649
6000+3000,0.6804896005668634,21.29009485244751,0.08966577
7000+3500,0.6847753788483094,21.364543437957764,0.08947912
8000+4000,0.6874803114188628,21.49960160255432,0.087005235
9000+4500,0.6847170529275411,21.565810441970825,0.0881843
