iters,ssim,psnr,rmse
1000+500,0.5645612443176645,19.358912706375122,0.11433771
10000+5000,0.6245970312839839,20.41301727294922,0.10090211
11000+5500,0.6318546884300275,20.450633764266968,0.10040249
12000+6000,0.629564582263308,20.48339009284973,0.098562
13000+6500,0.6303270655558941,20.485092401504517,0.098099455
14000+7000,0.6341640021478963,20.518757104873657,0.097399905
15000+7500,0.6308406640495725,20.45063853263855,0.09807813
16000+8000,0.6348918234858203,20.465282201766968,0.09787522
17000+8500,0.6281737981232249,20.566704273223877,0.09732457
18000+9000,0.6296694842087712,20.465211868286133,0.099041075
19000+9500,0.6352715108274589,20.620121955871582,0.09748155
2000+1000,0.602942537621737,19.475777745246887,0.10604123
20000+10000,0.6292443675986132,20.565611124038696,0.09814489
3000+1500,0.6163812445714084,20.178451538085938,0.100491926
30000+15000,0.6370873865836663,20.766044855117798,0.09517353
4000+2000,0.6280640943382738,20.272001028060913,0.099918544
40000+20000,0.6425951012819371,20.757629871368408,0.09438859
5000+2500,0.6208683901792522,20.208770036697388,0.10080231
50000+25000,0.6453905392236212,20.697227716445923,0.09424873
6000+3000,0.6295601829010387,20.25612235069275,0.10102063
7000+3500,0.6285023411652662,20.208293199539185,0.10100514
8000+4000,0.6290335380475838,20.49746036529541,0.09948741
9000+4500,0.6301496125558785,20.33084750175476,0.10008317
