iters,ssim,psnr,rmse
1000+500,0.6508228107809373,20.66828727722168,0.09695138
10000+5000,0.7025937011945824,22.083208560943604,0.08174428
11000+5500,0.7018519492019059,22.18679428100586,0.0808821
12000+6000,0.7127489700595164,22.287265062332153,0.08203314
13000+6500,0.705749314016701,22.158085107803345,0.08144964
14000+7000,0.7063059736103091,22.264925241470337,0.0798798
15000+7500,0.7066236200714024,22.122645378112793,0.08090047
16000+8000,0.7136307983041135,22.276612520217896,0.08020292
17000+8500,0.7044310645623889,22.293812036514282,0.07988913
18000+9000,0.7141983909874277,22.35634684562683,0.079485215
19000+9500,0.7088255975431692,22.446606159210205,0.07941744
2000+1000,0.6651044491653473,20.846621990203857,0.0927279
20000+10000,0.7123566964550128,22.297463417053223,0.079671785
3000+1500,0.6875571786007729,21.27137541770935,0.08730942
30000+15000,0.7108335092800644,22.333288192749023,0.07934044
4000+2000,0.6895989575813797,21.803321838378906,0.08397557
40000+20000,0.7151373967202898,22.467857599258423,0.07792018
5000+2500,0.6893998475254024,21.745126247406006,0.085541904
50000+25000,0.7151765213137907,22.367899417877197,0.07817866
6000+3000,0.6956036025618348,21.90621852874756,0.08343913
7000+3500,0.7067889830911055,22.03559160232544,0.08049002
8000+4000,0.7018834928474162,21.940901279449463,0.08292948
9000+4500,0.7085787091683825,22.43430256843567,0.07895027
