iters,ssim,psnr,rmse
1000+500,0.5986510334605555,19.147168397903442,0.10199109
10000+5000,0.6530612145603314,21.0501492023468,0.08741549
11000+5500,0.6571280148264123,21.267483234405518,0.0847168
12000+6000,0.6484530042444021,20.810306072235107,0.0870896
13000+6500,0.6624150456987081,21.571143865585327,0.082664065
14000+7000,0.6518532659333616,21.210529804229736,0.08601275
15000+7500,0.6548838980203833,21.185033321380615,0.08522174
16000+8000,0.6607130228876485,21.20838165283203,0.08572276
17000+8500,0.6463795153577081,20.996828079223633,0.08791534
18000+9000,0.6615908694724837,21.26855731010437,0.08443633
19000+9500,0.6672719629968924,21.258028745651245,0.08475562
2000+1000,0.5524735583285292,18.32768201828003,0.11595576
20000+10000,0.6697249872906568,21.377596855163574,0.08266946
3000+1500,0.6244438578487461,20.539029836654663,0.09003027
30000+15000,0.6606379509930775,21.31324052810669,0.08527917
4000+2000,0.6377226001389147,20.494784116744995,0.09083387
40000+20000,0.6558487600365404,21.396291255950928,0.0847033
5000+2500,0.6403285973833022,20.84453821182251,0.08828142
50000+25000,0.6542932473354718,21.48683190345764,0.08379987
6000+3000,0.6370634113800122,20.709846019744873,0.09050356
7000+3500,0.6447561051827506,21.306579113006592,0.08555809
8000+4000,0.6494172031534617,21.224303245544434,0.086907595
9000+4500,0.6577735654054777,21.062476634979248,0.08524178
