iters,ssim,psnr,rmse
1000+500,0.6320671528428647,20.681657791137695,0.09547134
10000+5000,0.7110061652292643,22.702205181121826,0.075278945
11000+5500,0.7109789939520326,22.61447310447693,0.077323034
12000+6000,0.6980651743346016,22.48968005180359,0.07827568
13000+6500,0.7082011106034898,22.570061683654785,0.077087805
14000+7000,0.7061821700735607,22.50291347503662,0.077743374
15000+7500,0.7002889452323569,22.4917733669281,0.07709131
16000+8000,0.701256013753671,22.540313005447388,0.07682925
17000+8500,0.7026078288289028,22.54386067390442,0.07639642
18000+9000,0.7039623119799217,22.494276762008667,0.07669105
19000+9500,0.7021942287220213,22.541764974594116,0.07630035
2000+1000,0.6775211084318471,21.80644392967224,0.08218372
20000+10000,0.7032092778940751,22.660584449768066,0.07628374
3000+1500,0.6909910144195237,22.350581884384155,0.08156647
30000+15000,0.7058885732273552,22.790762186050415,0.07362528
4000+2000,0.6921174621620594,22.219146490097046,0.07884593
40000+20000,0.7156762260474352,22.830278873443604,0.073536746
5000+2500,0.7046096012117352,22.406364679336548,0.07709725
50000+25000,0.7145751508180069,22.873530387878418,0.07278882
6000+3000,0.698400885771818,22.389720678329468,0.07895301
7000+3500,0.7041401645724363,22.56076455116272,0.07801612
8000+4000,0.7076658364088075,22.757335901260376,0.07598671
9000+4500,0.7009792175723462,22.552286386489868,0.077503175
